,image_id,image_path,object_id,x_min,y_min,x_max,y_max,class_name
30,30,./dataset/1034185673116940136252950285960.80.png,0,112,19,121,28,0
31,31,./dataset/111501740822055448078711863319.37.png,3,54,27,116,122,3
32,32,./dataset/111501740822055448078711863319.37.png,7,135,30,186,129,7
33,33,./dataset/356580018839459862264348217378.87.png,8,105,25,129,86,8
34,34,./dataset/356580018839459862264348217378.87.png,7,135,28,169,90,7
35,35,./dataset/200654386258433684075453550501.96.png,9,130,24,157,80,9
36,36,./dataset/200654386258433684075453550501.96.png,6,166,22,193,71,6
37,37,./dataset/396684036792751446440289323264.383.png,3,102,28,127,135,3
38,38,./dataset/396684036792751446440289323264.383.png,8,139,26,164,133,8
39,39,./dataset/396684036792751446440289323264.383.png,3,166,13,195,129,3
40,40,./dataset/2390606361069725698.4465.png,4,70,4,92,47,4
41,41,./dataset/2390606361069725698.4465.png,4,95,15,115,59,4
42,42,./dataset/2390606361069725698.4465.png,6,139,29,155,66,6
43,43,./dataset/2390606361069725698.4465.png,5,179,31,203,84,5
44,44,./dataset/16928174159565746384.83.png,8,121,20,199,79,8
45,45,./dataset/337343652588282431115752515361.17.png,1,134,23,146,83,1
46,46,./dataset/337343652588282431115752515361.17.png,7,168,28,226,96,7
47,47,./dataset/868151252815832592197231617893.775.png,7,109,5,136,52,7
48,48,./dataset/868151252815832592197231617893.775.png,7,147,7,160,40,7
49,49,./dataset/868151252815832592197231617893.775.png,5,168,4,201,47,5
50,50,./dataset/996949533151855185461310955682.50.png,5,107,19,140,77,5
51,51,./dataset/996949533151855185461310955682.50.png,0,143,28,172,79,0
52,52,./dataset/9988169347423863685808916736.150.png,1,122,26,130,68,1
53,53,./dataset/9988169347423863685808916736.150.png,5,146,27,178,82,5
54,54,./dataset/9988169347423863685808916736.150.png,0,199,39,236,93,0
55,55,./dataset/29929764280856291905857069618.32.png,3,47,24,95,110,3
56,56,./dataset/29929764280856291905857069618.32.png,2,120,23,193,108,2
57,57,./dataset/12499025794890650579.5.png,5,161,0,207,67,5
58,58,./dataset/802897902358404128781335546133.920.png,9,77,11,102,102,9
59,59,./dataset/802897902358404128781335546133.920.png,2,128,38,150,103,2
60,60,./dataset/802897902358404128781335546133.920.png,0,171,29,199,84,0
61,61,./dataset/3028147565099134114.174.png,1,70,24,99,101,1
62,62,./dataset/3028147565099134114.174.png,7,112,37,168,108,7
63,63,./dataset/3028147565099134114.174.png,4,190,33,243,120,4
64,64,./dataset/979063880957127077742917193858.156.png,1,98,33,103,65,1
65,65,./dataset/979063880957127077742917193858.156.png,5,119,24,149,67,5
66,66,./dataset/979063880957127077742917193858.156.png,6,157,29,177,77,6
67,67,./dataset/6441172442444063368.126.png,1,98,31,110,71,1
68,68,./dataset/6441172442444063368.126.png,2,131,23,168,67,2
69,69,./dataset/6441172442444063368.126.png,6,182,16,209,76,6
70,70,./dataset/5269653879511028385.103.png,1,113,26,126,64,1
71,71,./dataset/5269653879511028385.103.png,0,137,32,168,62,0
72,72,./dataset/5269653879511028385.103.png,3,182,26,207,72,3
73,73,./dataset/169774799204137625497377214634.36.png,3,45,18,112,103,3
74,74,./dataset/169774799204137625497377214634.36.png,6,125,15,166,89,6
75,75,./dataset/283887991810624591662724565824.166.png,1,24,32,45,99,1
76,76,./dataset/283887991810624591662724565824.166.png,6,81,22,120,102,6
77,77,./dataset/283887991810624591662724565824.166.png,6,153,19,196,111,6
78,78,./dataset/12198044588204384316.78.png,7,117,12,157,83,7
79,79,./dataset/12198044588204384316.78.png,8,163,19,200,74,8
80,80,./dataset/1483423409904112597.86.png,8,118,16,147,66,8
81,81,./dataset/1483423409904112597.86.png,6,174,18,201,73,6
82,82,./dataset/132051451416071866694570382121.62.png,6,47,43,123,118,6
83,83,./dataset/132051451416071866694570382121.62.png,2,128,44,191,119,2
84,84,./dataset/6211038353742455157.188.png,1,96,33,108,66,1
85,85,./dataset/6211038353742455157.188.png,8,124,24,170,69,8
86,86,./dataset/6211038353742455157.188.png,8,170,24,213,69,8
87,87,./dataset/54499737636670714606648697298.158.png,1,41,41,53,92,1
88,88,./dataset/54499737636670714606648697298.158.png,5,77,29,123,94,5
89,89,./dataset/54499737636670714606648697298.158.png,8,141,21,187,107,8
90,90,./dataset/799266876894480973289047134594.194.png,1,110,11,122,60,1
91,91,./dataset/799266876894480973289047134594.194.png,9,133,13,155,63,9
92,92,./dataset/799266876894480973289047134594.194.png,4,165,17,195,92,4
93,93,./dataset/6092324062069808609.168.png,1,106,33,114,68,1
94,94,./dataset/6092324062069808609.168.png,6,129,33,175,75,6
95,95,./dataset/6092324062069808609.168.png,8,160,34,161,36,8
96,96,./dataset/1055063795594535733457231963301.92.png,9,66,20,103,84,9
97,97,./dataset/1055063795594535733457231963301.92.png,2,133,31,243,89,2
98,98,./dataset/30072795547663155057142697441.72.png,7,48,37,127,108,7
99,99,./dataset/30072795547663155057142697441.72.png,2,148,38,234,94,2
100,100,./dataset/241965770181638344804309543563.102.png,1,70,39,85,95,1
101,101,./dataset/241965770181638344804309543563.102.png,0,91,45,122,98,0
102,102,./dataset/241965770181638344804309543563.102.png,2,102,35,125,70,2
103,103,./dataset/844382405169091218527929932065.62.png,6,120,21,147,67,6
104,104,./dataset/844382405169091218527929932065.62.png,2,164,27,199,54,2
105,105,./dataset/431435762133753326030239137821.38.png,3,108,17,143,74,3
106,106,./dataset/431435762133753326030239137821.38.png,8,152,30,182,75,8
107,107,./dataset/7607234161847730832.114.png,1,133,29,144,65,1
108,108,./dataset/7607234161847730832.114.png,1,164,22,176,57,1
109,109,./dataset/7607234161847730832.114.png,4,191,22,241,74,4
110,110,./dataset/39693948949554386295688167424.876.png,8,119,16,144,65,8
111,111,./dataset/39693948949554386295688167424.876.png,7,145,18,235,72,7
112,112,./dataset/45194825360203378016087245961.136.png,1,105,34,119,68,1
113,113,./dataset/45194825360203378016087245961.136.png,3,131,26,158,68,3
114,114,./dataset/45194825360203378016087245961.136.png,6,195,28,218,85,6
115,115,./dataset/121519906830572482059571626532.152.png,1,105,25,115,65,1
116,116,./dataset/121519906830572482059571626532.152.png,5,130,22,159,67,5
117,117,./dataset/121519906830572482059571626532.152.png,2,172,17,224,67,2
118,118,./dataset/812128768442308538106294897218.38.png,3,123,15,164,61,3
119,119,./dataset/812128768442308538106294897218.38.png,8,203,8,235,80,8
120,120,./dataset/10705096070856476105.11.png,1,165,23,177,69,1
121,121,./dataset/10705096070856476105.11.png,1,190,8,200,70,1
122,122,./dataset/109006822440782337688415766832.102.png,1,108,41,121,73,1
123,123,./dataset/109006822440782337688415766832.102.png,0,131,38,186,77,0
124,124,./dataset/109006822440782337688415766832.102.png,2,194,36,247,83,2
125,125,./dataset/329893117096387588.186.png,1,108,24,117,73,1
126,126,./dataset/329893117096387588.186.png,8,130,22,166,69,8
127,127,./dataset/329893117096387588.186.png,6,183,27,204,68,6
128,128,./dataset/11410495821787275928.184.png,1,111,35,127,78,1
129,129,./dataset/11410495821787275928.184.png,8,144,27,171,73,8
130,130,./dataset/11410495821787275928.184.png,4,193,24,239,93,4
131,131,./dataset/8454833556058230125.20.png,2,130,13,151,52,2
132,132,./dataset/8454833556058230125.20.png,0,156,15,178,55,0
133,133,./dataset/161096789097999306215051923616.192.png,1,94,19,102,92,1
134,134,./dataset/161096789097999306215051923616.192.png,9,114,13,138,91,9
135,135,./dataset/161096789097999306215051923616.192.png,2,149,15,177,87,2
136,136,./dataset/435560206802831595832736492314.9.png,9,168,4,201,66,9
137,137,./dataset/11293117303478396386.180.png,1,127,24,136,70,1
138,138,./dataset/11293117303478396386.180.png,8,150,23,177,72,8
139,139,./dataset/11293117303478396386.180.png,0,193,35,221,72,0
140,140,./dataset/378048793936058010105270629000.36.png,3,121,6,146,57,3
141,141,./dataset/378048793936058010105270629000.36.png,6,157,10,178,57,6
142,142,./dataset/688737520273983545092133382482.154.png,1,115,7,122,50,1
143,143,./dataset/688737520273983545092133382482.154.png,5,131,9,157,47,5
144,144,./dataset/688737520273983545092133382482.154.png,4,170,9,210,54,4
145,145,./dataset/842159886041080553748280004649.144.png,1,49,24,63,99,1
146,146,./dataset/842159886041080553748280004649.144.png,4,72,29,181,119,4
147,147,./dataset/224268326237709030169691214347.47.png,4,37,31,88,150,4
148,148,./dataset/224268326237709030169691214347.47.png,7,96,10,153,134,7
149,149,./dataset/39924341936689429384406406401.7.png,7,161,28,215,94,7
150,150,./dataset/186978627190243869081838457444.172.png,1,50,6,80,91,1
151,151,./dataset/186978627190243869081838457444.172.png,7,84,13,131,94,7
152,152,./dataset/186978627190243869081838457444.172.png,2,150,11,192,99,2
153,153,./dataset/699847868088188795137917915362.39.png,3,31,32,82,126,3
154,154,./dataset/699847868088188795137917915362.39.png,9,113,19,164,134,9
155,155,./dataset/815383804297218178187172528678.48.png,4,12,39,36,85,4
156,156,./dataset/815383804297218178187172528678.48.png,8,61,33,144,110,8
157,157,./dataset/832004871688339009566152469153.184.png,1,108,34,113,92,1
158,158,./dataset/832004871688339009566152469153.184.png,8,125,35,147,96,8
159,159,./dataset/832004871688339009566152469153.184.png,4,157,41,187,97,4
160,160,./dataset/201292469152785602261240883250.62.png,6,61,25,102,117,6
161,161,./dataset/201292469152785602261240883250.62.png,2,120,36,185,110,2
162,162,./dataset/10759709829612514282.154.png,1,114,7,122,50,1
163,163,./dataset/10759709829612514282.154.png,5,130,9,157,48,5
164,164,./dataset/10759709829612514282.154.png,4,170,9,210,54,4
165,165,./dataset/1058326083387902192018556607050.45.png,4,99,40,136,80,4
166,166,./dataset/1058326083387902192018556607050.45.png,5,103,0,109,10,5
167,167,./dataset/420482773953135317763991948886.30.png,3,91,18,127,67,3
168,168,./dataset/420482773953135317763991948886.30.png,0,127,143,143,150,0
169,169,./dataset/138794782912.188.png,1,99,22,109,61,1
170,170,./dataset/138794782912.188.png,8,119,15,151,57,8
171,171,./dataset/138794782912.188.png,8,160,11,194,54,8
172,172,./dataset/4947490382121817490.6.png,6,170,0,212,40,6
173,173,./dataset/5918897755198379188.62.png,6,122,27,167,75,6
174,174,./dataset/5918897755198379188.62.png,2,170,28,183,39,2
175,175,./dataset/762934432458077070470307950404.178.png,1,119,21,125,66,1
176,176,./dataset/762934432458077070470307950404.178.png,7,141,24,192,69,7
177,177,./dataset/762934432458077070470307950404.178.png,8,191,18,219,78,8
178,178,./dataset/422516128186717479979542811939.3010.png,3,87,9,106,51,3
179,179,./dataset/422516128186717479979542811939.3010.png,0,112,6,136,48,0
180,180,./dataset/422516128186717479979542811939.3010.png,1,150,27,154,61,1
181,181,./dataset/422516128186717479979542811939.3010.png,0,184,39,202,68,0
182,182,./dataset/498608804660555304459764928740.34.png,3,25,11,86,97,3
183,183,./dataset/498608804660555304459764928740.34.png,4,117,24,193,98,4
184,184,./dataset/9234702094707998752.44.png,4,126,36,163,75,4
185,185,./dataset/9234702094707998752.44.png,4,182,37,225,78,4
186,186,./dataset/368986630145148215636268724680.142.png,1,45,34,64,121,1
187,187,./dataset/368986630145148215636268724680.142.png,4,76,33,127,123,4
188,188,./dataset/368986630145148215636268724680.142.png,2,154,39,216,108,2
189,189,./dataset/425109346495747879272729188280.97.png,9,107,22,154,67,9
190,190,./dataset/425109346495747879272729188280.97.png,7,138,28,139,29,7
191,191,./dataset/254026979687074107950987652280.88.png,8,126,25,165,87,8
192,192,./dataset/254026979687074107950987652280.88.png,8,168,16,202,73,8
193,193,./dataset/11124639392077010353.6.png,6,133,31,156,141,6
194,194,./dataset/183607776678622725458918548004.105.png,1,93,30,102,66,1
195,195,./dataset/183607776678622725458918548004.105.png,0,117,25,141,63,0
196,196,./dataset/183607776678622725458918548004.105.png,5,154,17,197,68,5
197,197,./dataset/203220473701976576903527171204.49.png,4,106,41,134,145,4
198,198,./dataset/203220473701976576903527171204.49.png,9,140,33,162,131,9
199,199,./dataset/1092372426647521212964923064936.194.png,1,65,33,79,93,1
200,200,./dataset/1092372426647521212964923064936.194.png,9,91,34,131,104,9
201,201,./dataset/1092372426647521212964923064936.194.png,4,96,0,98,1,4
202,202,./dataset/995692704056317625129498199205.126.png,1,52,46,63,113,1
203,203,./dataset/995692704056317625129498199205.126.png,2,92,30,142,104,2
204,204,./dataset/995692704056317625129498199205.126.png,6,165,22,191,93,6
205,205,./dataset/208149239900625981150814725164.79.png,7,15,17,107,112,7
206,206,./dataset/208149239900625981150814725164.79.png,9,117,24,173,104,9
207,207,./dataset/7869782395972670577.34.png,3,97,8,139,68,3
208,208,./dataset/7869782395972670577.34.png,4,161,18,214,73,4
209,209,./dataset/14306997920347122862.130.png,1,119,21,127,56,1
210,210,./dataset/14306997920347122862.130.png,3,138,19,164,57,3
211,211,./dataset/14306997920347122862.130.png,0,169,22,194,55,0
212,212,./dataset/214422618239574807530013905616.180.png,1,55,35,70,102,1
213,213,./dataset/214422618239574807530013905616.180.png,8,92,33,134,106,8
214,214,./dataset/214422618239574807530013905616.180.png,0,160,50,204,105,0
215,215,./dataset/22633519839183593811677942866.13.png,1,130,28,143,77,1
216,216,./dataset/22633519839183593811677942866.13.png,3,174,27,211,78,3
217,217,./dataset/62092925976888949720236984656.39.png,3,14,16,74,87,3
218,218,./dataset/62092925976888949720236984656.39.png,9,103,45,148,113,9
219,219,./dataset/714690518287384140711063478553.15.png,1,110,51,116,127,1
220,220,./dataset/714690518287384140711063478553.15.png,5,137,37,159,128,5
221,221,./dataset/11747002004275611796.126.png,1,54,29,72,67,1
222,222,./dataset/11747002004275611796.126.png,2,82,23,192,74,2
223,223,./dataset/9729832550190763819.36.png,3,115,14,150,82,3
224,224,./dataset/9729832550190763819.36.png,6,155,17,190,69,6
225,225,./dataset/366585084238113120564397279938.47.png,4,121,13,173,82,4
226,226,./dataset/366585084238113120564397279938.47.png,7,184,6,218,43,7
227,227,./dataset/675028252309643702601625440386.12.png,1,132,24,148,71,1
228,228,./dataset/675028252309643702601625440386.12.png,2,175,24,228,72,2
229,229,./dataset/634214577293090745167768783105.26.png,2,134,15,167,55,2
230,230,./dataset/634214577293090745167768783105.26.png,6,181,8,210,48,6
231,231,./dataset/1347449056.56.png,5,118,14,153,67,5
232,232,./dataset/1347449056.56.png,6,157,16,179,66,6
233,233,./dataset/678428368581625424247690319176.82.png,8,141,16,176,68,8
234,234,./dataset/678428368581625424247690319176.82.png,2,187,24,224,60,2
235,235,./dataset/985105038723595576014189276549.2910.png,2,0,17,37,89,2
236,236,./dataset/985105038723595576014189276549.2910.png,9,49,7,98,146,9
237,237,./dataset/985105038723595576014189276549.2910.png,1,111,26,124,96,1
238,238,./dataset/985105038723595576014189276549.2910.png,0,159,0,195,85,0
239,239,./dataset/1111445096096418227781841987735.144.png,1,107,22,115,56,1
240,240,./dataset/1111445096096418227781841987735.144.png,4,121,19,149,65,4
241,241,./dataset/1111445096096418227781841987735.144.png,4,151,24,183,62,4
242,242,./dataset/819162916374969752385440524630.130.png,1,0,0,2,150,1
243,243,./dataset/819162916374969752385440524630.130.png,3,33,30,65,93,3
244,244,./dataset/819162916374969752385440524630.130.png,0,89,25,145,88,0
245,245,./dataset/292310009022503291266273693108.188.png,1,96,33,108,66,1
246,246,./dataset/292310009022503291266273693108.188.png,8,124,24,170,69,8
247,247,./dataset/292310009022503291266273693108.188.png,8,170,24,213,69,8
248,248,./dataset/656926088159742597153589298092.70.png,7,58,27,116,100,7
249,249,./dataset/656926088159742597153589298092.70.png,0,129,52,186,99,0
250,250,./dataset/289749665741098997610219910242.44.png,4,34,35,97,116,4
251,251,./dataset/289749665741098997610219910242.44.png,4,136,30,211,124,4
252,252,./dataset/660360264014945312.114.png,1,146,17,154,53,1
253,253,./dataset/660360264014945312.114.png,1,161,14,168,50,1
254,254,./dataset/660360264014945312.114.png,4,177,13,201,56,4
255,255,./dataset/765556101317814752408179942196.146.png,1,108,26,121,63,1
256,256,./dataset/765556101317814752408179942196.146.png,4,141,20,185,74,4
257,257,./dataset/765556101317814752408179942196.146.png,6,201,19,223,78,6
258,258,./dataset/416355639397836643410567839876.399.png,3,98,28,121,131,3
259,259,./dataset/416355639397836643410567839876.399.png,9,134,25,157,125,9
260,260,./dataset/416355639397836643410567839876.399.png,9,168,26,195,123,9
261,261,./dataset/753694753747058868210356850180.174.png,1,128,16,137,75,1
262,262,./dataset/753694753747058868210356850180.174.png,7,157,22,177,78,7
263,263,./dataset/753694753747058868210356850180.174.png,4,180,22,214,82,4
264,264,./dataset/16108951909220939308824507559.29.png,2,56,78,66,111,2
265,265,./dataset/16108951909220939308824507559.29.png,9,64,117,65,118,9
266,266,./dataset/208682707510615408116451616332.52.png,5,115,14,151,75,5
267,267,./dataset/208682707510615408116451616332.52.png,2,171,20,222,71,2
268,268,./dataset/6497055812661717666.7.png,7,175,9,217,99,7
269,269,./dataset/254327583333868066137449304744.178.png,1,34,34,43,109,1
270,270,./dataset/254327583333868066137449304744.178.png,7,51,45,100,105,7
271,271,./dataset/254327583333868066137449304744.178.png,8,114,37,155,114,8
272,272,./dataset/400247933000665501110642245778.124.png,1,118,27,124,64,1
273,273,./dataset/400247933000665501110642245778.124.png,2,137,27,227,106,2
274,274,./dataset/418620292684911266682246637974.27.png,2,41,46,122,115,2
275,275,./dataset/418620292684911266682246637974.27.png,7,125,39,205,130,7
276,276,./dataset/330099474129968075632938473113.55.png,5,69,24,109,117,5
277,277,./dataset/330099474129968075632938473113.55.png,5,140,25,185,97,5
278,278,./dataset/976157557272669091312031634436.10.png,1,105,39,112,124,1
279,279,./dataset/976157557272669091312031634436.10.png,0,120,36,142,126,0
280,280,./dataset/1081055438496441398849402915621.196.png,1,112,22,122,60,1
281,281,./dataset/1081055438496441398849402915621.196.png,9,147,17,166,65,9
282,282,./dataset/1081055438496441398849402915621.196.png,6,176,19,200,65,6
283,283,./dataset/657598150485385794.132.png,1,115,39,122,72,1
284,284,./dataset/657598150485385794.132.png,3,140,32,169,76,3
285,285,./dataset/657598150485385794.132.png,2,187,37,249,86,2
286,286,./dataset/79576673163294543088536126720.26.png,2,113,30,163,63,2
287,287,./dataset/79576673163294543088536126720.26.png,6,169,35,197,79,6
288,288,./dataset/10927231937346098385.62.png,6,119,19,143,74,6
289,289,./dataset/10927231937346098385.62.png,2,162,18,214,79,2
290,290,./dataset/419896361812646556981855339090.96.png,9,51,56,105,148,9
291,291,./dataset/419896361812646556981855339090.96.png,6,132,69,186,140,6
292,292,./dataset/863988971829901387743455619506.164.png,1,69,46,80,147,1
293,293,./dataset/863988971829901387743455619506.164.png,6,91,43,128,150,6
294,294,./dataset/863988971829901387743455619506.164.png,4,140,52,187,150,4
295,295,./dataset/21231213222964667862510306464.14.png,1,119,19,132,85,1
296,296,./dataset/21231213222964667862510306464.14.png,4,163,15,201,70,4
297,297,./dataset/11224770778314939340.4.png,4,181,10,222,50,4
298,298,./dataset/422854698548474257864825260577.17.png,1,108,46,115,130,1
299,299,./dataset/422854698548474257864825260577.17.png,7,128,35,168,141,7
300,300,./dataset/357764718582078172867978332240.100.png,1,93,28,105,75,1
301,301,./dataset/357764718582078172867978332240.100.png,0,119,42,151,74,0
302,302,./dataset/357764718582078172867978332240.100.png,0,172,41,206,82,0
303,303,./dataset/369077281311454771947093051819.168.png,1,23,28,46,94,1
304,304,./dataset/369077281311454771947093051819.168.png,6,74,22,112,96,6
305,305,./dataset/369077281311454771947093051819.168.png,8,128,20,175,111,8
306,306,./dataset/133742356192802002303594759018.156.png,1,61,38,70,74,1
307,307,./dataset/133742356192802002303594759018.156.png,5,91,34,141,87,5
308,308,./dataset/133742356192802002303594759018.156.png,6,150,28,182,73,6
309,309,./dataset/1267385392796030116.72.png,7,116,25,162,73,7
310,310,./dataset/1267385392796030116.72.png,2,175,26,225,64,2
311,311,./dataset/858922164727637755773103545171.83.png,8,96,0,104,9,8
312,312,./dataset/858922164727637755773103545171.83.png,3,107,27,133,57,3
313,313,./dataset/209425325394102053835571759189.39.png,3,14,16,74,89,3
314,314,./dataset/209425325394102053835571759189.39.png,9,103,46,148,117,9
315,315,./dataset/606840806625216323679580678350.94.png,9,0,0,3,150,9
316,316,./dataset/606840806625216323679580678350.94.png,4,17,44,81,150,4
317,317,./dataset/3253865287374168448.34.png,3,134,21,165,75,3
318,318,./dataset/3253865287374168448.34.png,4,179,22,225,74,4
319,319,./dataset/802974229520595545313368255126.63.png,6,53,70,91,150,6
320,320,./dataset/802974229520595545313368255126.63.png,3,130,59,184,150,3
321,321,./dataset/8551117256169796278.184.png,1,134,18,140,51,1
322,322,./dataset/8551117256169796278.184.png,8,146,12,172,53,8
323,323,./dataset/8551117256169796278.184.png,4,180,17,207,58,4
324,324,./dataset/1271313553473696.178.png,1,131,31,143,65,1
325,325,./dataset/1271313553473696.178.png,7,152,30,182,69,7
326,326,./dataset/1271313553473696.178.png,8,175,26,200,75,8
327,327,./dataset/209542282535815919783106611397.103.png,1,116,35,123,92,1
328,328,./dataset/209542282535815919783106611397.103.png,0,131,48,156,93,0
329,329,./dataset/209542282535815919783106611397.103.png,3,165,37,193,104,3
330,330,./dataset/22380258329329198130551406752.108.png,1,99,25,110,82,1
331,331,./dataset/22380258329329198130551406752.108.png,0,120,41,134,83,0
332,332,./dataset/22380258329329198130551406752.108.png,8,136,33,149,83,8
333,333,./dataset/343006520889802277610881378888.29.png,2,99,56,127,127,2
334,334,./dataset/343006520889802277610881378888.29.png,9,130,32,150,131,9
335,335,./dataset/360591620277712710905416682391.4090.png,4,79,0,116,49,4
336,336,./dataset/360591620277712710905416682391.4090.png,0,122,11,144,44,0
337,337,./dataset/360591620277712710905416682391.4090.png,9,146,0,178,46,9
338,338,./dataset/360591620277712710905416682391.4090.png,0,178,0,204,35,0
339,339,./dataset/819054047277750741859805364673.86.png,8,134,2,165,75,8
340,340,./dataset/819054047277750741859805364673.86.png,6,171,13,202,77,6
341,341,./dataset/2341889468485652880.78.png,7,110,16,150,67,7
342,342,./dataset/2341889468485652880.78.png,8,165,14,208,62,8
343,343,./dataset/5787778782889416810.186.png,1,107,28,117,68,1
344,344,./dataset/5787778782889416810.186.png,8,127,31,166,73,8
345,345,./dataset/5787778782889416810.186.png,6,171,26,200,77,6
346,346,./dataset/11540509574852891209.114.png,1,106,29,118,64,1
347,347,./dataset/11540509574852891209.114.png,1,142,29,155,71,1
348,348,./dataset/11540509574852891209.114.png,4,166,33,212,75,4
349,349,./dataset/7232055640920781296.88.png,8,0,0,1,150,8
350,350,./dataset/7232055640920781296.88.png,8,106,24,163,93,8
351,351,./dataset/996271429053861732362112501764.246.png,2,105,55,137,126,2
352,352,./dataset/996271429053861732362112501764.246.png,4,144,56,177,150,4
353,353,./dataset/996271429053861732362112501764.246.png,6,184,39,206,135,6
354,354,./dataset/69839806672.82.png,8,133,22,156,68,8
355,355,./dataset/69839806672.82.png,2,169,21,193,69,2
356,356,./dataset/322098343581518961486397085908.138.png,1,99,22,106,83,1
357,357,./dataset/322098343581518961486397085908.138.png,3,101,0,108,2,3
358,358,./dataset/322098343581518961486397085908.138.png,8,109,0,110,1,8
359,359,./dataset/4267738258610339988.94.png,9,108,49,137,102,9
360,360,./dataset/4267738258610339988.94.png,4,162,55,210,110,4
361,361,./dataset/110898714710709824836468515232.52.png,5,118,25,153,85,5
362,362,./dataset/110898714710709824836468515232.52.png,2,179,28,226,70,2
363,363,./dataset/1123126774670278198719536501524.48.png,4,128,19,169,92,4
364,364,./dataset/1123126774670278198719536501524.48.png,8,175,22,209,85,8
365,365,./dataset/2818701127147132982.77.png,7,112,33,129,69,7
366,366,./dataset/2818701127147132982.77.png,7,134,31,176,72,7
367,367,./dataset/5866522103041598662.110.png,1,114,24,125,70,1
368,368,./dataset/5866522103041598662.110.png,1,150,17,161,68,1
369,369,./dataset/5866522103041598662.110.png,0,173,19,212,70,0
370,370,./dataset/486085819600717388352619750244.152.png,1,46,31,57,102,1
371,371,./dataset/486085819600717388352619750244.152.png,5,77,24,116,105,5
372,372,./dataset/486085819600717388352619750244.152.png,2,140,30,172,95,2
373,373,./dataset/100827328616940782464873474708.38.png,3,47,34,83,112,3
374,374,./dataset/100827328616940782464873474708.38.png,8,97,25,138,119,8
375,375,./dataset/74590875291879432.8.png,8,167,3,202,62,8
376,376,./dataset/316990668426853998831533033762.16.png,1,148,21,163,76,1
377,377,./dataset/316990668426853998831533033762.16.png,6,192,21,218,80,6
378,378,./dataset/445902722633129429315687649748.48.png,4,52,31,118,148,4
379,379,./dataset/445902722633129429315687649748.48.png,8,128,35,183,136,8
380,380,./dataset/686646921131068925237994690985.176.png,1,118,28,125,68,1
381,381,./dataset/686646921131068925237994690985.176.png,7,122,24,124,25,7
382,382,./dataset/686646921131068925237994690985.176.png,6,143,24,145,27,6
383,383,./dataset/339834054340304946539552148032.78.png,7,115,15,154,67,7
384,384,./dataset/339834054340304946539552148032.78.png,8,167,13,209,61,8
385,385,./dataset/373419397728500767409475232420.120.png,1,123,27,129,70,1
386,386,./dataset/373419397728500767409475232420.120.png,2,141,20,184,76,2
387,387,./dataset/373419397728500767409475232420.120.png,0,184,26,212,70,0
388,388,./dataset/992990972259403989233132989353.186.png,1,39,25,51,95,1
389,389,./dataset/992990972259403989233132989353.186.png,8,77,20,124,109,8
390,390,./dataset/992990972259403989233132989353.186.png,6,145,25,188,119,6
391,391,./dataset/746010357126245098960742842688.184.png,1,111,35,127,78,1
392,392,./dataset/746010357126245098960742842688.184.png,8,144,27,171,73,8
393,393,./dataset/746010357126245098960742842688.184.png,4,193,24,239,93,4
394,394,./dataset/9942244054259205885695168642.56.png,5,110,24,149,65,5
